week,GIGE,USB2.0,USB3.0,Unknown,other
2021-01-18,1053.0,87947.0,21812.0,231808.0,17645.0
2021-01-25,1423.0,123355.0,2093.0,546702.0,118843.0
2021-02-01,173.0,1100.0,3229.0,91348.0,735.0
2021-02-08,,,,1000.0,
2021-02-15,2.0,,10.0,118.0,380.0
2021-02-22,10.0,38800.0,17487.0,104923.0,179368.0
2021-03-01,1386.0,,2055.0,9849.0,3030.0
2021-03-08,1163.0,680.0,1493.0,110593.0,1732.0
2021-03-15,385.0,114827.0,6539.0,435041.0,102950.0
2021-03-22,651.0,20.0,2848.0,113842.0,1172.0
2021-03-29,2305.0,140325.0,24820.0,398402.0,129790.0
2021-04-05,31.0,99300.0,500.0,320869.36,110410.0
2021-04-12,492.0,71957.0,19077.0,698571.0,119855.0
2021-04-19,3194.0,40000.0,12489.0,47373.0,299.0
2021-04-26,15820.0,123255.0,21891.0,806832.0,119268.0
2021-05-03,581.0,2005.0,697.0,81892.0,509.0
2021-05-10,24832.0,51865.0,4404.0,1518168.0,90262.0
2021-05-17,1354.0,144620.0,12886.0,188739.0,129516.0
2021-05-24,3016.0,,8830.0,102542.0,569.0
2021-05-31,1307.0,95900.0,10779.0,666442.0,126500.0
2021-06-07,305.0,77400.0,3282.0,219987.0,153244.0
2021-06-14,403.0,10.0,6690.0,172642.0,15929.0
2021-06-21,615.0,106250.0,4860.0,312142.0,137903.0
2021-06-28,1.0,99256.0,33545.0,408140.0,120741.0
2021-07-05,512.0,1.0,3055.0,71906.0,397.0
2021-07-12,396.0,75535.0,1960.0,651340.0,130847.0
2021-07-19,16.0,103000.0,7175.0,227244.0,110388.0
2021-07-26,1034.0,139901.0,37543.0,800292.0,155288.0
2021-08-02,521.0,14600.0,54.0,56738.0,2009.0
2021-08-09,21.0,82900.0,1152.0,267336.0,128319.0
2021-08-16,55.0,97120.0,3108.0,410253.0,138306.0
2021-08-23,503.0,982.0,47.0,48480.0,7144.0
2021-08-30,1207.0,118360.0,7828.0,621304.0,93754.0
2021-09-06,53.0,68000.0,2871.0,201156.0,149416.0
2021-09-13,117.0,16100.0,7986.0,138850.0,2171.0
2021-09-20,1000.0,84350.0,1561.0,282010.0,103008.0
2021-09-27,,92300.0,13526.0,939329.0,119019.0
2021-10-04,1002.0,,236.0,35933.0,161.0
2021-10-11,7.0,92350.0,1058.0,114772.0,117278.0
2021-10-18,35.0,32400.0,2016.0,182080.0,777.0
2021-10-25,,159325.0,18333.0,318122.0,74645.0
2021-11-01,1002.0,4000.0,1558.0,31948.0,35.0
2021-11-08,1009.0,84800.0,7682.0,216910.0,99979.0
2021-11-15,3.0,20000.0,6549.0,87306.0,10446.0
2021-11-22,1242.0,60000.0,546.0,110100.0,124970.0
2021-11-29,15.0,175600.0,6925.0,125496.0,48437.0
2021-12-06,11511.0,144875.0,1009.0,90001.0,54888.0
2021-12-13,15.0,163975.0,12737.0,608574.0,55492.0
2021-12-20,108.0,121250.0,2216.0,199400.0,64986.0
2021-12-27,2.0,181375.0,11350.0,320409.0,83740.0
2022-01-03,3943.0,20.0,788.0,59465.0,564.0
2022-01-10,1.0,155755.0,3149.0,214315.0,67574.0
2022-01-17,8045.0,113825.0,5533.0,686592.0,123261.0
2022-01-24,,,3000.0,6395.0,80.0
2022-01-31,,,,,
2022-02-07,19.0,4.0,22.0,425.0,648.0
2022-02-14,194.0,,573.0,5942.0,330.0
2022-02-21,504.0,102625.0,778.0,112129.0,104075.0
2022-02-28,807.0,55632.0,6386.0,251690.0,12563.0
2022-03-07,18.0,73932.0,733.0,409496.0,119038.0
2022-03-14,1028.0,97.0,4373.0,48715.0,1821.0
2022-03-21,2626.0,26493.0,7634.0,58066.0,5310.0
2022-03-28,28.0,147096.0,5102.0,616291.0,145707.0
2022-04-04,5.0,,1174.0,55134.0,611.0
2022-04-11,17207.0,135100.0,920.0,313666.0,90541.0
2022-04-18,729.0,30500.0,3635.0,67932.0,1250.0
2022-04-25,2019.0,106275.0,23625.0,435801.0,68140.0
